Date,Open,High,Low,Close,Volume,WMA,EMA12,EMA26,MACD_LINE,SIGNAL_LINE,MACD_HISTOGRAMS,RSI,TWAP_10,AR,ATR,SVMA_20,returns
1992-04-22,6.75,6.75,6.375,6.625,663600,7.305681818181818,7.395917373630452,7.463447466798522,-0.06753009316807024,0.11975044926162182,-0.18728054242969205,27.272727272727266,7.44140625,0.4375,0.640625,353020.0,-0.027522935779816515
1992-04-23,6.625,6.75,6.59375,6.6875,229200,7.172727272727273,7.2869300853796135,7.405969876665298,-0.11903979128568487,0.10648432478677144,-0.22552411607245632,32.25806451612904,7.3703125,0.15625,0.4174107142857143,352980.0,0.009433962264150943
1992-04-24,6.625,6.75,6.625,6.625,92400,7.040909090909091,7.1850946876289035,7.348120256171573,-0.16302556854266914,0.09151155293513585,-0.254537121477805,27.86885245901638,7.2953125,0.125,0.15401785714285715,329780.0,-0.009345794392523364
1992-04-27,6.75,6.75,6.25,6.3125,514000,6.867613636363636,7.05084935107061,7.271407644603308,-0.2205582935326973,0.07417433924247845,-0.29473263277517575,22.85714285714286,7.190625,0.5,0.15178571428571427,342900.0,-0.04716981132075472
1992-04-28,6.4375,6.6875,6.4375,6.625,350800,6.7727272727272725,6.985334066290516,7.223525596854914,-0.23819153056439824,0.05682067980876308,-0.29501221037316133,27.027027027027017,7.0828125,0.375,0.49107142857142855,351020.0,0.04950495049504951
1992-04-29,6.65625,6.6875,6.3125,6.5,390000,6.6744318181818185,6.910667286861206,7.169931108198996,-0.2592638213377896,0.03926042974506572,-0.2985242510828553,17.14285714285714,6.95859375,0.375,0.375,360020.0,-0.018867924528301886
1992-04-30,6.4375,7.25,6.375,7.25,336800,6.738636363636363,6.96287231965179,7.1758621372212925,-0.2129898175695022,0.025246527116478613,-0.23823634468598082,39.99999999999999,6.85390625,0.875,0.4107142857142857,363240.0,0.11538461538461539
1992-05-01,7.375,7.6875,7.3125,7.6875,400800,6.892613636363636,7.074353501243822,7.213761238167864,-0.13940773692404207,0.016099068003116355,-0.15550680492715843,51.020408163265316,6.83359375,0.4375,0.84375,362480.0,0.0603448275862069
1992-05-04,7.625,8.125,7.625,8.125,440000,7.125,7.235991424129388,7.281260405710985,-0.04526898158159742,0.012689731915076701,-0.05795871349667413,62.13592233009709,6.871875,0.5,0.4419642857142857,355760.0,0.056910569105691054
1992-05-05,8.1875,8.5625,8.0,8.375,246800,7.388636363636364,7.411223512724867,7.3622781534360975,0.0489453592887692,0.014703933435837395,0.0342414258529318,76.59574468085107,7.0046875,0.5625,0.5044642857142857,338660.0,0.03076923076923077
1992-05-06,8.5,8.5,8.21875,8.25,405600,7.601136363636364,7.540266049228733,7.428035327255645,0.11223072197308781,0.020122088354573527,0.09210863361851429,78.26086956521739,7.17890625,0.28125,0.5424107142857143,313460.0,-0.014925373134328358
1992-05-07,8.1875,8.5625,8.1875,8.375,623600,7.806818181818182,7.6686866570396965,7.498180858570041,0.1705057984696552,0.028476738916522505,0.1420290595531327,78.72340425531915,7.3453125,0.375,0.28794642857142855,317420.0,0.015151515151515152
1992-05-08,8.5,8.5,8.3125,8.34375,335200,7.976136363636364,7.772542555956667,7.560815609787075,0.2117269461695921,0.03865730598613748,0.1730696401834546,79.56989247311829,7.52109375,0.1875,0.36160714285714285,316420.0,-0.0037313432835820895
1992-05-11,8.3125,8.3125,7.875,7.875,270000,8.028977272727273,7.788305239655641,7.584088527580625,0.20421671207501646,0.04785505076885298,0.15636166130616347,75.51020408163265,7.67890625,0.46875,0.20758928571428573,325260.0,-0.056179775280898875
1992-05-12,7.875,7.875,7.4375,7.53125,233600,7.990909090909091,7.748758279708619,7.580174562574652,0.16858371713396725,0.054562198900248216,0.11402151823371903,64.64646464646464,7.7921875,0.4375,0.46651785714285715,335080.0,-0.04365079365079365
1992-05-13,7.5,7.5625,7.0625,7.25,244400,7.885227272727272,7.672026236676524,7.5557171875691225,0.11630904910740192,0.05799257946731231,0.05831646964008961,61.53846153846154,7.87265625,0.5,0.4419642857142857,337620.0,-0.03734439834024896
1992-05-14,7.125,7.25,6.75,7.125,451600,7.743181818181818,7.587868354110904,7.52381221071215,0.0640561433987541,0.05832944413017019,0.005726699268583907,47.61904761904762,7.89609375,0.5,0.5,355940.0,-0.017241379310344827
1992-05-15,7.0,7.5625,6.90625,7.375,305600,7.648863636363636,7.55511937655538,7.5127890839927325,0.04233029256264764,0.05744060237641893,-0.015110309813771289,43.58974358974359,7.865625,0.65625,0.5111607142857143,366660.0,0.03508771929824561
1992-05-18,7.3125,7.5,7.1875,7.1875,288800,7.526136363636364,7.498562549393014,7.4886935962895675,0.00986895310344682,0.05479773297236492,-0.0449287798689181,28.57142857142857,7.8078125,0.3125,0.6316964285714286,368280.0,-0.025423728813559324
1992-05-19,7.125,7.1875,7.0,7.1875,85200,7.420454545454546,7.45070677256332,7.466382959527378,-0.015676186964057592,0.050882515198119226,-0.06655870216217682,19.354838709677423,7.6921875,0.1875,0.30357142857142855,345400.0,0.0
1992-05-20,7.0625,7.0625,6.8125,6.84375,154400,7.273863636363636,7.3573288075535785,7.4202619995623875,-0.06293319200880898,0.04455942035328988,-0.10749261236209887,17.391304347826093,7.55,0.375,0.20089285714285715,319940.0,-0.04782608695652174
1992-05-21,6.75,6.875,6.75,6.75,109600,7.1357954545454545,7.263893606391489,7.370612962557766,-0.10671935616627692,0.036155043879980614,-0.14287440004625754,11.764705882352942,7.3953125,0.125,0.35714285714285715,313960.0,-0.0136986301369863
1992-05-22,6.78125,7.0,6.75,6.875,155600,7.05,7.204063820792799,7.3339008912571915,-0.12983707046439275,0.02693325974973765,-0.1567703302141304,16.901408450704224,7.2390625,0.25,0.13392857142857142,317120.0,0.018518518518518517
1992-05-26,6.875,6.9375,6.6875,6.6875,179200,6.956818181818182,7.124592463747753,7.286019343756658,-0.16142688000890537,0.01646880754092415,-0.1778956875498295,19.354838709677423,7.109375,0.25,0.25,300380.0,-0.02727272727272727
1992-05-27,6.875,7.0,6.625,6.75,1305600,6.896590909090909,7.066962853940406,7.246314207182091,-0.17935135324168527,0.005589909719668072,-0.18494126296135335,26.41509433962264,7.02265625,0.375,0.25892857142857145,348120.0,0.009345794392523364
1992-05-28,7.0,7.0,6.8125,6.875,173200,6.873295454545454,7.037430107180343,7.218809451094529,-0.18137934391418575,-0.004797271037768252,-0.1765820728764175,37.5,6.98046875,0.25,0.36607142857142855,337280.0,0.018518518518518517
1992-05-29,6.9375,6.9375,6.59375,6.84375,800000,6.851136363636364,7.007633167614136,7.191027269531972,-0.18339410191783578,-0.014719317197772003,-0.16867478472006378,39.99999999999999,6.95703125,0.34375,0.25669642857142855,360440.0,-0.004545454545454545
1992-06-01,6.8125,7.1875,6.8125,7.1875,137600,6.896590909090909,7.035304987981192,7.190765990307382,-0.15546100232618976,-0.022538299704906322,-0.13292270262128345,43.75,6.9359375,0.375,0.34598214285714285,347280.0,0.0502283105022831
1992-06-02,7.1875,7.9375,7.1875,7.8125,733600,7.0590909090909095,7.154873451368701,7.236820361395724,-0.08194691002702292,-0.025838778056135023,-0.0561081319708879,66.12903225806451,6.959375,0.75,0.4017857142857143,361960.0,0.08695652173913043
1992-06-03,7.8125,8.375,7.8125,8.34375,1156800,7.306818181818182,7.337777535773515,7.318815149440485,0.0189623863330306,-0.023349824478959155,0.042312210811989756,73.41772151898735,7.05546875,0.5625,0.7366071428571429,407460.0,0.068
1992-06-04,8.3125,8.375,7.625,7.84375,828400,7.442613636363636,7.415619453346821,7.357699212444893,0.05792024090192793,-0.018834820846687653,0.07675506174861559,69.04761904761905,7.16484375,0.75,0.5758928571428571,428600.0,-0.0599250936329588
1992-06-05,7.8125,8.0625,7.5625,7.59375,118800,7.514772727272727,7.443024152831925,7.375184455967494,0.06783969686443125,-0.0140195698627366,0.08185926672716785,65.1685393258427,7.2625,0.5,0.7321428571428571,403360.0,-0.03187250996015936
1992-06-08,7.6875,7.8125,7.4375,7.4375,308000,7.543181818181818,7.442174283165475,7.379800422192123,0.06237386097335129,-0.009775490371842829,0.07214935134519412,60.0,7.33671875,0.375,0.49107142857142855,402000.0,-0.0205761316872428
1992-06-09,7.4375,7.4375,6.875,6.9375,312800,7.470454545454546,7.3645320857554015,7.347037427955669,0.01749465779973214,-0.008260482140088662,0.0257551399398208,54.0,7.37421875,0.5625,0.38839285714285715,404140.0,-0.06722689075630252
1992-06-10,7.0625,7.3125,6.9375,7.0,336800,7.404545454545454,7.308450226408416,7.321330951810805,-0.012880725402388826,-0.00851716232132756,-0.004363563081061266,54.0,7.40078125,0.375,0.5491071428571429,409300.0,0.009009009009009009
1992-06-11,7.0,7.3125,6.875,7.25,524800,7.379545454545455,7.299457883884044,7.316047177602598,-0.01658929371855411,-0.008965614065617923,-0.007623679652936187,55.769230769230774,7.41953125,0.4375,0.3794642857142857,423320.0,0.03571428571428571
1992-06-12,7.34375,7.375,7.125,7.1875,172000,7.336363636363636,7.282233594055729,7.30652516444685,-0.024291570391120842,-0.009817056083701418,-0.014474514307419424,55.23809523809524,7.4625,0.25,0.42410714285714285,409340.0,-0.008620689655172414
1992-06-15,7.3125,7.3125,7.125,7.3125,150800,7.309659090909091,7.286889964201001,7.306967744858194,-0.02007778065719279,-0.010387096337784271,-0.009690684319408518,52.0408163265306,7.4890625,0.1875,0.24553571428571427,401600.0,0.017391304347826087
1992-06-16,7.125,7.25,7.0625,7.0625,214000,7.235227272727273,7.252368431247001,7.288859023016846,-0.03649059176984437,-0.011837290528454277,-0.024653301241390094,36.04651162790697,7.4484375,0.25,0.19196428571428573,397860.0,-0.03418803418803419
1992-06-17,7.0625,7.0625,6.3125,6.5,648400,7.072159090909091,7.136619441824386,7.230425021311895,-0.09380557948750923,-0.016391084359512885,-0.07741449512799634,16.091954022988503,7.31328125,0.75,0.2857142857142857,426020.0,-0.07964601769911504
1992-06-18,6.5,6.5,6.1875,6.375,948000,6.919886363636364,7.019447220005249,7.167060204918421,-0.14761298491317199,-0.02368118994582728,-0.1239317949673447,18.66666666666667,7.1484375,0.3125,0.71875,465700.0,-0.019230769230769232
1992-06-19,6.375,6.625,6.375,6.5625,340800,6.828409090909091,6.9491476476967495,7.122277967517056,-0.1731303198203067,-0.03198391938329835,-0.14114640043700832,27.39726027397259,7.02109375,0.25,0.3080357142857143,477260.0,0.029411764705882353
